;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""stimulation sequence number""
oen_term:oen_0000000
""Helmholtz""";stimulation sequence number;oen_term:oen_0000000;';';oen_0000092;';';';'
"owl:Class
""macro mode""
oen_term:oen_0000000
""odML terminology""";macro mode;oen_term:oen_0000000;';';oen_0000158;';';';'
"owl:Class
""behavioral sensitization""
oen_term:oen_0000000
""odML terminology""";behavioral sensitization;oen_term:oen_0000000;';';oen_0000159;';';';'
"owl:Class
""data segment length""
oen_term:oen_0000000
""odML terminology""";data segment length;oen_term:oen_0000000;';';oen_0000097;';';';'
"owl:Class
""image acquisition aperture""
oen_term:oen_0000000
""odML terminology""";image acquisition aperture;oen_term:oen_0000000;';';oen_0000096;';';';'
"owl:Class
""movie image spatial resolution""
oen_term:oen_0000000
""odML terminology""";movie image spatial resolution;oen_term:oen_0000000;';';oen_0000095;';';';'
"owl:Class
""oil immersion lens""
oen_term:oen_0000000
""odML terminology""";oil immersion lens;oen_term:oen_0000000;';';oen_0000094;';';';'
"owl:Class
""patch electrode""
oen_term:oen_0000000
""Helmholtz""";patch electrode;oen_term:oen_0000000;';';oen_0000152;';';';'
"owl:Class
""storage file location""
oen_term:oen_0000000
""Helmholtz""";storage file location;oen_term:oen_0000000;';';oen_0000153;';';';'
"owl:Class
""sawtooth stimulus""
oen_term:oen_0000000
""odML terminology""";sawtooth stimulus;oen_term:oen_0000000;';';oen_0000150;';';';'
"owl:Class
""training duration""
oen_term:oen_0000000
""odML terminology""";training duration;oen_term:oen_0000000;';';oen_0000151;';';';'
"owl:Class
""subject intsruction""
oen_term:oen_0000000
""odML terminology""";subject intsruction;oen_term:oen_0000000;';';oen_0000156;';';';'
"owl:Class
""project identifier""
oen_term:oen_0000000
""odML terminology""";project identifier;oen_term:oen_0000000;';';oen_0000157;';';';'
"owl:Class
""neural structure cell""
oen_term:oen_0000000
""Helmholtz""";neural structure cell;oen_term:oen_0000000;';';oen_0000154;';';';'
"owl:Class
""instantaneous spike rate method""
oen_term:oen_0000000
""odML terminology""";instantaneous spike rate method;oen_term:oen_0000000;';';oen_0000155;';';';'
"owl:Class
""device model""
oen_term:oen_0000000
""Helmholtz""";device model;oen_term:oen_0000000;';';oen_0000480;';';';'
"owl:Class
""amplifier device""
oen_term:oen_0000000
""Helmholtz""";amplifier device;oen_term:oen_0000000;';';oen_0000481;';';';'
"owl:Class
""stimulation protocol""
oen_term:oen_0000000
""odML terminology""";stimulation protocol;oen_term:oen_0000000;';';oen_0000482;';';';'
"owl:Class
""stimulation scotoma""
oen_term:oen_0000000
""Helmholtz""";stimulation scotoma;oen_term:oen_0000000;';';oen_0000483;';';';'
"owl:Class
""electrocardiogram""
oen_term:oen_0000000
""odML terminology""";electrocardiogram;oen_term:oen_0000000;';';oen_0000484;';';';'
"owl:Class
""square wave intensity offset""
oen_term:oen_0000000
""odML terminology""";square wave intensity offset;oen_term:oen_0000000;';';oen_0000485;';';';'
"owl:Class
""analog input sampling rate""
oen_term:oen_0000000
""odML terminology""";analog input sampling rate;oen_term:oen_0000000;';';oen_0000486;';';';'
"owl:Class
""instrument""
oen_term:oen_0000000
""odML terminology""";instrument;oen_term:oen_0000000;';';oen_0000487;';';';'
"owl:Class
""patch clamp device configuration""
oen_term:oen_0000000
""Helmholtz""";patch clamp device configuration;oen_term:oen_0000000;';';oen_0000488;';';';'
"owl:Class
""sine wave modulation amplitude""
oen_term:oen_0000000
""odML terminology""";sine wave modulation amplitude;oen_term:oen_0000000;';';oen_0000489;';';';'
"owl:Class
""analog input used channel count""
oen_term:oen_0000000
""odML terminology""";analog input used channel count;oen_term:oen_0000000;';';oen_0000295;';';';'
"owl:Class
""subject specific label""
oen_term:oen_0000000
""odML terminology""";subject specific label;oen_term:oen_0000000;';';oen_0000294;';';';'
"owl:Class
""emission filter model""
oen_term:oen_0000000
""odML terminology""";emission filter model;oen_term:oen_0000000;';';oen_0000297;';';';'
"owl:Class
""analysis data source""
oen_term:oen_0000000
""Helmholtz""";analysis data source;oen_term:oen_0000000;';';oen_0000296;';';';'
"owl:Class
""stimulus modality""
oen_term:oen_0000000
""odML terminology""";stimulus modality;oen_term:oen_0000000;';';oen_0000291;';';';'
"owl:Class
""stimulation receptive field x""
oen_term:oen_0000000
""Helmholtz""";stimulation receptive field x;oen_term:oen_0000000;';';oen_0000290;';';';'
"owl:Class
""image acquisition region of interest height""
oen_term:oen_0000000
""odML terminology""";image acquisition region of interest height;oen_term:oen_0000000;';';oen_0000293;';';';'
"owl:Class
""filter""
oen_term:oen_0000000
""odML terminology""";filter;oen_term:oen_0000000;';';oen_0000292;';';';'
"owl:Class
""preparation animal identifier""
oen_term:oen_0000000
""Helmholtz""";preparation animal identifier;oen_term:oen_0000000;';';oen_0000299;';';';'
"owl:Class
""emission filter manufacturer""
oen_term:oen_0000000
""odML terminology""";emission filter manufacturer;oen_term:oen_0000000;';';oen_0000298;';';';'
"owl:Class
""movie stimulus""
oen_term:oen_0000000
""odML terminology""";movie stimulus;oen_term:oen_0000000;';';oen_0000735;';';';'
"owl:Class
""random dot stimulus""
oen_term:oen_0000000
""odML terminology""";random dot stimulus;oen_term:oen_0000000;';';oen_0000431;';';';'
"owl:Class
""position brain region""
oen_term:oen_0000000
""Helmholtz""";position brain region;oen_term:oen_0000000;';';oen_0000430;';';';'
"owl:Class
""drug application route""
oen_term:oen_0000000
""Helmholtz""";drug application route;oen_term:oen_0000000;';';oen_0000433;';';';'
"owl:Class
""light-emitting diode""
oen_term:oen_0000000
""odML terminology""";light-emitting diode;oen_term:oen_0000000;';';oen_0000432;';';';'
"owl:Class
""experiment end""
oen_term:oen_0000000
""Helmholtz""";experiment end;oen_term:oen_0000000;';';oen_0000435;';';';'
"owl:Class
""diminutive""
oen_term:oen_0000000
""Helmholtz""";diminutive;oen_term:oen_0000000;';';oen_0000434;';';';'
"owl:Class
""stimulation initial seed""
oen_term:oen_0000000
""Helmholtz""";stimulation initial seed;oen_term:oen_0000000;';';oen_0000437;';';';'
"owl:Class
""image acquisition region of interest""
oen_term:oen_0000000
""odML terminology""";image acquisition region of interest;oen_term:oen_0000000;';';oen_0000436;';';';'
"owl:Class
""random dot pixel width""
oen_term:oen_0000000
""odML terminology""";random dot pixel width;oen_term:oen_0000000;';';oen_0000439;';';';'
"owl:Class
""stimulus isolator input range minimum voltage""
oen_term:oen_0000000
""odML terminology""";stimulus isolator input range minimum voltage;oen_term:oen_0000000;';';oen_0000438;';';';'
"owl:Class
""chemical substance""
oen_term:oen_0000000
""Helmholtz""";chemical substance;oen_term:oen_0000000;';';oen_0000532;';';';'
"owl:Class
""stimulus file""
oen_term:oen_0000000
""odML terminology""";stimulus file;oen_term:oen_0000000;';';oen_0000533;';';';'
"owl:Class
""organization contact details""
oen_term:oen_0000000
""Helmholtz""";organization contact details;oen_term:oen_0000000;';';oen_0000534;';';';'
"owl:Class
""recording datetime""
oen_term:oen_0000000
""Helmholtz""";recording datetime;oen_term:oen_0000000;';';oen_0000535;';';';'
"owl:Class
""stimulation luminance number""
oen_term:oen_0000000
""Helmholtz""";stimulation luminance number;oen_term:oen_0000000;';';oen_0000536;';';';'
"owl:Class
""scanner image width""
oen_term:oen_0000000
""odML terminology""";scanner image width;oen_term:oen_0000000;';';oen_0000537;';';';'
"owl:Class
""weight""
oen_term:oen_0000000
""odML terminology""";weight;oen_term:oen_0000000;';';oen_0000242;';';';'
"owl:Class
""preparation slicing method""
oen_term:oen_0000000
""odML terminology""";preparation slicing method;oen_term:oen_0000000;';';oen_0000243;';';';'
"owl:Class
""infrared image sensor""
oen_term:oen_0000000
""odML terminology""";infrared image sensor;oen_term:oen_0000000;';';oen_0000240;';';';'
"owl:Class
""light source wavelength upper bound""
oen_term:oen_0000000
""odML terminology""";light source wavelength upper bound;oen_term:oen_0000000;';';oen_0000241;';';';'
"owl:Class
""anaesthetic application route""
oen_term:oen_0000000
""Helmholtz""";anaesthetic application route;oen_term:oen_0000000;';';oen_0000246;';';';'
"owl:Class
""in vitro slice preparation""
oen_term:oen_0000000
""Helmholtz""";in vitro slice preparation;oen_term:oen_0000000;';';oen_0000247;';';';'
"owl:Class
""loose patch""
oen_term:oen_0000000
""odML terminology""";loose patch;oen_term:oen_0000000;';';oen_0000244;';';';'
"owl:Class
""sine wave stimulus frequency""
oen_term:oen_0000000
""odML terminology""";sine wave stimulus frequency;oen_term:oen_0000000;';';oen_0000245;';';';'
"owl:Class
""stimulus isolator gain""
oen_term:oen_0000000
""odML terminology""";stimulus isolator gain;oen_term:oen_0000000;';';oen_0000365;';';';'
"owl:Class
""MIME type specification""
oen_term:oen_0000000
""Helmholtz""";MIME type specification;oen_term:oen_0000000;';';oen_0000364;';';';'
"owl:Class
""minimum attenuation""
oen_term:oen_0000000
""odML terminology""";minimum attenuation;oen_term:oen_0000000;';';oen_0000248;';';';'
"owl:Class
""preparation anaesthetic""
oen_term:oen_0000000
""odML terminology""";preparation anaesthetic;oen_term:oen_0000000;';';oen_0000249;';';';'
"owl:Class
""stimulus isolator gain step size""
oen_term:oen_0000000
""odML terminology""";stimulus isolator gain step size;oen_term:oen_0000000;';';oen_0000361;';';';'
"owl:Class
""analog output maximum sampling rate""
oen_term:oen_0000000
""odML terminology""";analog output maximum sampling rate;oen_term:oen_0000000;';';oen_0000360;';';';'
"owl:Class
""stimulus output channel""
oen_term:oen_0000000
""odML terminology""";stimulus output channel;oen_term:oen_0000000;';';oen_0000363;';';';'
"owl:Class
""recording segment dataset""
oen_term:oen_0000000
""Helmholtz""";recording segment dataset;oen_term:oen_0000000;';';oen_0000362;';';';'
"owl:Class
""voltage clamp controlled current clamp measurement""
oen_term:oen_0000000
""odML terminology""";voltage clamp controlled current clamp measurement;oen_term:oen_0000000;';';oen_0000026;';';';'
"owl:Class
""region of interest width""
oen_term:oen_0000000
""odML terminology""";region of interest width;oen_term:oen_0000000;';';oen_0000027;';';';'
"owl:Class
""preparation animal birth""
oen_term:oen_0000000
""Helmholtz""";preparation animal birth;oen_term:oen_0000000;';';oen_0000024;';';';'
"owl:Class
""overlap""
oen_term:oen_0000000
""odML terminology""";overlap;oen_term:oen_0000000;';';oen_0000025;';';';'
"owl:Class
""multielectrode array inter electrode interval""
oen_term:oen_0000000
""Helmholtz""";multielectrode array inter electrode interval;oen_term:oen_0000000;';';oen_0000022;';';';'
"owl:Class
""binary dense noise multistimulus""
oen_term:oen_0000000
""Helmholtz""";binary dense noise multistimulus;oen_term:oen_0000000;';';oen_0000023;';';';'
"owl:Class
""amplifier""
oen_term:oen_0000000
""odML terminology""";amplifier;oen_term:oen_0000000;';';oen_0000020;';';';'
"owl:Class
""in vivo patch preparation""
oen_term:oen_0000000
""Helmholtz""";in vivo patch preparation;oen_term:oen_0000000;';';oen_0000021;';';';'
"owl:Class
""digital input output""
oen_term:oen_0000000
""odML terminology""";digital input output;oen_term:oen_0000000;';';oen_0000028;';';';'
"owl:Class
""dataset end date""
oen_term:oen_0000000
""odML terminology""";dataset end date;oen_term:oen_0000000;';';oen_0000029;';';';'
"owl:Class
""subject knowledge""
oen_term:oen_0000000
""odML terminology""";subject knowledge;oen_term:oen_0000000;';';oen_0000729;';';';'
"owl:Class
""cutting solution""
oen_term:oen_0000000
""Helmholtz""";cutting solution;oen_term:oen_0000000;';';oen_0000687;';';';'
"owl:Class
""sine wave""
oen_term:oen_0000000
""odML terminology""";sine wave;oen_term:oen_0000000;';';oen_0000727;';';';'
"owl:Class
""ganglion""
oen_term:oen_0000000
""odML terminology""";ganglion;oen_term:oen_0000000;';';oen_0000689;';';';'
"owl:Class
""movie frame rate""
oen_term:oen_0000000
""odML terminology""";movie frame rate;oen_term:oen_0000000;';';oen_0000625;';';';'
"owl:Class
""emission filter""
oen_term:oen_0000000
""odML terminology""";emission filter;oen_term:oen_0000000;';';oen_0000198;';';';'
"owl:Class
""chemical solution component""
oen_term:oen_0000000
""Helmholtz""";chemical solution component;oen_term:oen_0000000;';';oen_0000199;';';';'
"owl:Class
""continuous drug application""
oen_term:oen_0000000
""Helmholtz""";continuous drug application;oen_term:oen_0000000;';';oen_0000196;';';';'
"owl:Class
""stimulus intensity""
oen_term:oen_0000000
""odML terminology""";stimulus intensity;oen_term:oen_0000000;';';oen_0000197;';';';'
"owl:Class
""training trial""
oen_term:oen_0000000
""odML terminology""";training trial;oen_term:oen_0000000;';';oen_0000194;';';';'
"owl:Class
""sine wave mean intensity""
oen_term:oen_0000000
""odML terminology""";sine wave mean intensity;oen_term:oen_0000000;';';oen_0000195;';';';'
"owl:Class
""wavelength lower bound""
oen_term:oen_0000000
""odML terminology""";wavelength lower bound;oen_term:oen_0000000;';';oen_0000192;';';';'
"owl:Class
""attenuator""
oen_term:oen_0000000
""odML terminology""";attenuator;oen_term:oen_0000000;';';oen_0000193;';';';'
"owl:Class
""last name""
oen_term:oen_0000000
""odML terminology""";last name;oen_term:oen_0000000;';';oen_0000190;';';';'
"owl:Class
""experimental setup creator""
oen_term:oen_0000000
""odML terminology""";experimental setup creator;oen_term:oen_0000000;';';oen_0000191;';';';'
"owl:Class
""emission filter wavelength""
oen_term:oen_0000000
""odML terminology""";emission filter wavelength;oen_term:oen_0000000;';';oen_0000619;';';';'
"owl:Class
""circle stimulation grating shape""
oen_term:oen_0000000
""Helmholtz""";circle stimulation grating shape;oen_term:oen_0000000;';';oen_0000618;';';';'
"owl:Class
""zoom""
oen_term:oen_0000000
""odML terminology""";zoom;oen_term:oen_0000000;';';oen_0000611;';';';'
"owl:Class
""sine wave stimulus""
oen_term:oen_0000000
""odML terminology""";sine wave stimulus;oen_term:oen_0000000;';';oen_0000610;';';';'
"owl:Class
""device software""
oen_term:oen_0000000
""Helmholtz""";device software;oen_term:oen_0000000;';';oen_0000613;';';';'
"owl:Class
""complementary metal oxide semiconductor""
oen_term:oen_0000000
""odML terminology""";complementary metal oxide semiconductor;oen_term:oen_0000000;';';oen_0000612;';';';'
"owl:Class
""position anteroposterior value""
oen_term:oen_0000000
""Helmholtz""";position anteroposterior value;oen_term:oen_0000000;';';oen_0000615;';';';'
"owl:Class
""microscope type""
oen_term:oen_0000000
""odML terminology""";microscope type;oen_term:oen_0000000;';';oen_0000614;';';';'
"owl:Class
""people""
oen_term:oen_0000000
""Helmholtz""";people;oen_term:oen_0000000;';';oen_0000617;';';';'
"owl:Class
""drug preparation""
oen_term:oen_0000000
""Helmholtz""";drug preparation;oen_term:oen_0000000;';';oen_0000616;';';';'
"owl:Class
""investigator""
oen_term:oen_0000000
""odML terminology""";investigator;oen_term:oen_0000000;';';oen_0000049;';';';'
"owl:Class
""excitation filter passband transmission""
oen_term:oen_0000000
""odML terminology""";excitation filter passband transmission;oen_term:oen_0000000;';';oen_0000390;';';';'
"owl:Class
""instructions to subject""
oen_term:oen_0000000
""odML terminology""";instructions to subject;oen_term:oen_0000000;';';oen_0000391;';';';'
"owl:Class
""grating pattern""
oen_term:oen_0000000
""odML terminology""";grating pattern;oen_term:oen_0000000;';';oen_0000392;';';';'
"owl:Class
""device manufacturer""
oen_term:oen_0000000
""Helmholtz""";device manufacturer;oen_term:oen_0000000;';';oen_0000393;';';';'
"owl:Class
""impedance""
oen_term:oen_0000000
""Helmholtz""";impedance;oen_term:oen_0000000;';';oen_0000394;';';';'
"owl:Class
""species strain URL""
oen_term:oen_0000000
""Helmholtz""";species strain URL;oen_term:oen_0000000;';';oen_0000395;';';';'
"owl:Class
""excitation filter model""
oen_term:oen_0000000
""odML terminology""";excitation filter model;oen_term:oen_0000000;';';oen_0000396;';';';'
"owl:Class
""in vivo sharp preparation""
oen_term:oen_0000000
""Helmholtz""";in vivo sharp preparation;oen_term:oen_0000000;';';oen_0000397;';';';'
"owl:Class
""reverse correlation mutistimulus""
oen_term:oen_0000000
""Helmholtz""";reverse correlation mutistimulus;oen_term:oen_0000000;';';oen_0000398;';';';'
"owl:Class
""inhalation anesthetic""
oen_term:oen_0000000
""Helmholtz""";inhalation anesthetic;oen_term:oen_0000000;';';oen_0000399;';';';'
"owl:Class
""grating contrast""
oen_term:oen_0000000
""odML terminology""";grating contrast;oen_term:oen_0000000;';';oen_0000740;';';';'
"owl:Class
""mercury arc""
oen_term:oen_0000000
""odML terminology""";mercury arc;oen_term:oen_0000000;';';oen_0000682;';';';'
"owl:Class
""anaesthetic dose""
oen_term:oen_0000000
""odML terminology""";anaesthetic dose;oen_term:oen_0000000;';';oen_0000683;';';';'
"owl:Class
""subject population""
oen_term:oen_0000000
""odML terminology""";subject population;oen_term:oen_0000000;';';oen_0000680;';';';'
"owl:Class
""grating stimulus""
oen_term:oen_0000000
""odML terminology""";grating stimulus;oen_term:oen_0000000;';';oen_0000681;';';';'
"owl:Class
""local anaesthetic""
oen_term:oen_0000000
""odML terminology""";local anaesthetic;oen_term:oen_0000000;';';oen_0000686;';';';'
"owl:Class
""recording session start date""
oen_term:oen_0000000
""odML terminology""";recording session start date;oen_term:oen_0000000;';';oen_0000558;';';';'
"owl:Class
""drug experiment notes""
oen_term:oen_0000000
""Helmholtz""";drug experiment notes;oen_term:oen_0000000;';';oen_0000684;';';';'
"owl:Class
""patch clamp""
oen_term:oen_0000000
""odML terminology""";patch clamp;oen_term:oen_0000000;';';oen_0000685;';';';'
"owl:Class
""recording block""
oen_term:oen_0000000
""Helmholtz""";recording block;oen_term:oen_0000000;';';oen_0000725;';';';'
"owl:Class
""electromyogram""
oen_term:oen_0000000
""odML terminology""";electromyogram;oen_term:oen_0000000;';';oen_0000724;';';';'
"owl:Class
""experiment notes""
oen_term:oen_0000000
""Helmholtz""";experiment notes;oen_term:oen_0000000;';';oen_0000688;';';';'
"owl:Class
""experimenter""
oen_term:oen_0000000
""odML terminology""";experimenter;oen_term:oen_0000000;';';oen_0000559;';';';'
"owl:Class
""recording start date and time""
oen_term:oen_0000000
""odML terminology""";recording start date and time;oen_term:oen_0000000;';';oen_0000721;';';';'
"owl:Class
""image acquisition gamma function""
oen_term:oen_0000000
""odML terminology""";image acquisition gamma function;oen_term:oen_0000000;';';oen_0000720;';';';'
"owl:Class
""water immersion objective""
oen_term:oen_0000000
""odML terminology""";water immersion objective;oen_term:oen_0000000;';';oen_0000723;';';';'
"owl:Class
""analog output resolution""
oen_term:oen_0000000
""odML terminology""";analog output resolution;oen_term:oen_0000000;';';oen_0000722;';';';'
"owl:Class
""amplifier operation mode""
oen_term:oen_0000000
""odML terminology""";amplifier operation mode;oen_term:oen_0000000;';';oen_0000444;';';';'
"owl:Class
""monochrome image acquisition colorspace""
oen_term:oen_0000000
""odML terminology""";monochrome image acquisition colorspace;oen_term:oen_0000000;';';oen_0000445;';';';'
"owl:Class
""analog input channel count""
oen_term:oen_0000000
""odML terminology""";analog input channel count;oen_term:oen_0000000;';';oen_0000446;';';';'
"owl:Class
""lux""
oen_term:oen_0000000
""odML terminology""";lux;oen_term:oen_0000000;';';oen_0000447;';';';'
"owl:Class
""excitation filter upper bound""
oen_term:oen_0000000
""odML terminology""";excitation filter upper bound;oen_term:oen_0000000;';';oen_0000440;';';';'
"owl:Class
""electrode""
oen_term:oen_0000000
""odML terminology""";electrode;oen_term:oen_0000000;';';oen_0000441;';';';'
"owl:Class
""subject""
oen_term:oen_0000000
""odML terminology""";subject;oen_term:oen_0000000;';';oen_0000442;';';';'
"owl:Class
""recording""
oen_term:oen_0000000
""odML terminology""";recording;oen_term:oen_0000000;';';oen_0000443;';';';'
"owl:Class
""stimulation spatial period""
oen_term:oen_0000000
""Helmholtz""";stimulation spatial period;oen_term:oen_0000000;';';oen_0000448;';';';'
"owl:Class
""microscope objective numerical aperture""
oen_term:oen_0000000
""odML terminology""";microscope objective numerical aperture;oen_term:oen_0000000;';';oen_0000449;';';';'
