;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""cell membrane capacity""
oen_term:oen_0000000
""odML terminology""";cell membrane capacity;oen_term:oen_0000000;';';oen_0000702;';';';'
"owl:Class
""ternary dense noise multistimulus""
oen_term:oen_0000000
""Helmholtz""";ternary dense noise multistimulus;oen_term:oen_0000000;';';oen_0000701;';';';'
"owl:Class
""device version""
oen_term:oen_0000000
""Helmholtz""";device version;oen_term:oen_0000000;';';oen_0000700;';';';'
"owl:Class
""ramp stimulus""
oen_term:oen_0000000
""odML terminology""";ramp stimulus;oen_term:oen_0000000;';';oen_0000707;';';';'
"owl:Class
""brain region""
oen_term:oen_0000000
""odML terminology""";brain region;oen_term:oen_0000000;';';oen_0000706;';';';'
"owl:Class
""cell resting potential""
oen_term:oen_0000000
""odML terminology""";cell resting potential;oen_term:oen_0000000;';';oen_0000705;';';';'
"owl:Class
""emission filter lower bound""
oen_term:oen_0000000
""odML terminology""";emission filter lower bound;oen_term:oen_0000000;';';oen_0000704;';';';'
"owl:Class
""species strain""
oen_term:oen_0000000
""Helmholtz""";species strain;oen_term:oen_0000000;';';oen_0000709;';';';'
"owl:Class
""health status""
oen_term:oen_0000000
""odML terminology""";health status;oen_term:oen_0000000;';';oen_0000630;';';';'
"owl:Class
""image sensor""
oen_term:oen_0000000
""odML terminology""";image sensor;oen_term:oen_0000000;';';oen_0000528;';';';'
"owl:Class
""organization foundation date""
oen_term:oen_0000000
""Helmholtz""";organization foundation date;oen_term:oen_0000000;';';oen_0000512;';';';'
"owl:Class
""square wave modulation amplitude""
oen_term:oen_0000000
""odML terminology""";square wave modulation amplitude;oen_term:oen_0000000;';';oen_0000251;';';';'
"owl:Class
""stimulus position reference""
oen_term:oen_0000000
""odML terminology""";stimulus position reference;oen_term:oen_0000000;';';oen_0000510;';';';'
"owl:Class
""mount""
oen_term:oen_0000000
""odML terminology""";mount;oen_term:oen_0000000;';';oen_0000511;';';';'
